      Date      Angle      Separ      err-a      err-s nts  pr
 2014.4620       11.8     0.1176          0     0.0003   1   4
 2014.4620      192.0     0.1173          0     0.0003   1   4
 2014.5607       12.2     0.0906        1.4     0.0013   1   4
 2014.5607       12.2     0.0908        1.4     0.0013   1   4
2014.97833     193.06    0.02772       0.87    0.00042   1   5
2014.98654     192.76    0.03028       0.83    0.00044   1   5
2014.98928     192.86    0.03098       0.80    0.00043   1   5
2015.01666     192.62    0.03874       0.64    0.00043   1   5
 2015.0420     192.85    0.04553       1.02    0.00081   1   5
 2015.0556     193.78    0.04855       0.77    0.00065   1   5
 2015.0585     193.19    0.04947       0.50    0.00043   1   5
